Boro;Offense;Law Cat;Latitude;Longitude
MANHATTAN;ASSAULT;VIOLATION;40.74857333;-73.976066015
MANHATTAN;THEFT&FRAUD;FELONY;40.750430768;-73.989282176
BROOKLYN;PUBLIC ORDER;MISDEMEANOR;40.707569832;-73.966720928
QUEENS;THEFT&FRAUD;FELONY;40.730639403;-73.740166564
BRONX;THEFT&FRAUD;FELONY;40.855322095;-73.885811145
BRONX;PUBLIC ORDER;MISDEMEANOR;40.837392476;-73.916451675
BRONX;ASSAULT;MISDEMEANOR;40.882156972;-73.831914159
MANHATTAN;PUBLIC ORDER;MISDEMEANOR;40.831238127;-73.942177162
STATEN ISLAND;PUBLIC ORDER;FELONY;40.617342969;-74.168376421
BROOKLYN;THEFT&FRAUD;MISDEMEANOR;40.680578256;-73.952464212
BRONX;THEFT&FRAUD;FELONY;40.827819901;-73.925930756
BROOKLYN;THEFT&FRAUD;MISDEMEANOR;40.647330127;-73.896999556
MANHATTAN;PUBLIC ORDER;MISDEMEANOR;40.7170221;-74.001823171
MANHATTAN;THEFT&FRAUD;MISDEMEANOR;40.76795511;-73.982362342
BROOKLYN;ASSAULT;MISDEMEANOR;40.579955498;-73.973221258
MANHATTAN;THEFT&FRAUD;MISDEMEANOR;40.718149504;-73.987234735
BROOKLYN;THEFT&FRAUD;FELONY;40.691831831;-73.922230597
MANHATTAN;THEFT&FRAUD;FELONY;40.763320339;-73.973717904
QUEENS;ASSAULT;MISDEMEANOR;40.71949965;-73.875921172
BRONX;ASSAULT;VIOLATION;40.828493932;-73.90554671
QUEENS;PUBLIC ORDER;MISDEMEANOR;40.747571174;-73.874212344
BROOKLYN;THEFT&FRAUD;FELONY;40.625327369;-74.000422925
BRONX;THEFT&FRAUD;MISDEMEANOR;40.872010543;-73.889315108
MANHATTAN;THEFT&FRAUD;MISDEMEANOR;40.720177792;-73.986455117
BROOKLYN;ASSAULT;MISDEMEANOR;40.648715246;-74.01025031
QUEENS;DRIVING;MISDEMEANOR;40.679980738;-73.776233907
BROOKLYN;PUBLIC ORDER;FELONY;40.655737546;-73.934717497
BROOKLYN;THEFT&FRAUD;FELONY;40.648171571;-74.01236557
MANHATTAN;WEAPONS;MISDEMEANOR;40.800930373;-73.941098241
BRONX;HEALTH&DRUGS;MISDEMEANOR;40.805501602;-73.916477255
QUEENS;WEAPONS;MISDEMEANOR;40.679980738;-73.776233907
BRONX;THEFT&FRAUD;MISDEMEANOR;40.842539396;-73.845271095
BROOKLYN;THEFT&FRAUD;MISDEMEANOR;40.665252772;-73.8961212
BROOKLYN;ASSAULT;VIOLATION;40.645715304;-73.963346451
BROOKLYN;ASSAULT;FELONY;40.703968961;-73.940206502
MANHATTAN;THEFT&FRAUD;MISDEMEANOR;40.795581553;-73.932297815
