"TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
791,455,444583,12923,0.05767828496427009,0.6348314606741573,0.05767828496427009,0.9989776153946405,0.10574866310160429,,
145357,126476,156131,30788,0.8252121831445683,0.5347290431993172,0.8252121831445683,0.552466853262658,0.6489470465067482,,
38673,76714,299135,44230,0.46648492816906506,0.3351590733791502,0.46648492816906506,0.7958914351242121,0.3900650562307731,,
66990,1964,317260,72538,0.48011868585516887,0.9715172433796444,0.48011868585516887,0.9938475803824274,0.6426454082366823,,
241,113,443535,14863,0.01595603813559322,0.6807909604519774,0.01595603813559322,0.9997452935660704,0.031181265364212705,,
64,92,449988,8608,0.007380073800738007,0.41025641025641024,0.007380073800738007,0.9997955918947743,0.014499320344358857,,
435,355,436196,21766,0.01959371199495518,0.5506329113924051,0.01959371199495518,0.9991868074978639,0.03784089426297246,,
32,0,458719,1,0.9696969696969697,1.0,0.9696969696969697,1.0,0.9846153846153847,,
0,0,458443,309,0.0,,0.0,1.0,,,
0,0,458609,143,0.0,,0.0,1.0,,,
,,,,,,,,,0.5505872453962054,0.3401814375472571
